rank,instrument,score
1,SH600064,0.11576304891913854
2,SZ301589,0.11208986686082063
3,SH601528,0.10704860494253249
4,SZ002948,0.10473230041811475
5,SH601200,0.10212920454380586
6,SH600787,0.10130243310992725
7,SH600033,0.10118276441044954
8,SZ300080,0.0994932210036334
9,SH600662,0.0964986557494647
10,SZ000498,0.09567427377023385
11,SH600158,0.09507562489399636
12,SZ301175,0.0946165917168571
13,SH600017,0.0940220111673937
14,SH600956,0.09391626896710205
15,SH601033,0.09380190174788426
16,SZ000828,0.09312566830879679
17,SZ002807,0.09306742380591873
18,SZ002091,0.09282366973686426
19,SH600167,0.09195648899306058
20,SH601326,0.09195462344666577
